condition,environment,run,n_train,n_test,states,state_by_mean,test_observations,occupancy,miss_rate,mean_response_ns
interference,host,host_cpu3-interf_io-run9,70000,30001,3,0,29664,0.98876704109863,0.0,605586.396608684
interference,host,host_cpu3-interf_io-run9,70000,30001,3,1,337,0.011232958901369954,0.9673590504451038,67616780.7893175
interference,host,host_cpu3-interf_io-run9,70000,30001,3,2,0,0.0,,
interference,host,host_cpu3-interf_io-run9,70000,30001,4,0,29664,0.98876704109863,0.0,605586.396608684
interference,host,host_cpu3-interf_io-run9,70000,30001,4,1,200,0.006666444451851605,0.945,33130163.17
interference,host,host_cpu3-interf_io-run9,70000,30001,4,2,137,0.0045665144495183494,1.0,117962207.97080293
interference,host,host_cpu3-interf_io-run9,70000,30001,4,3,0,0.0,,
interference,host,host_cpu3-interf_io-run9,70000,30001,5,0,27674,0.9224359188027066,0.0,605496.6601864566
interference,host,host_cpu3-interf_io-run9,70000,30001,5,1,1991,0.06636445451818272,0.0,606834.3249623305
interference,host,host_cpu3-interf_io-run9,70000,30001,5,2,217,0.0072330922302589916,0.9539170506912442,36704439.571428575
interference,host,host_cpu3-interf_io-run9,70000,30001,5,3,119,0.003966534448851705,1.0,124549452.88235295
interference,host,host_cpu3-interf_io-run9,70000,30001,5,4,0,0.0,,
interference,host,host_cpu3-interf_io-run10,70000,30001,2,0,28535,0.9511349621679277,0.0,594812.1973015595
interference,host,host_cpu3-interf_io-run10,70000,30001,2,1,1466,0.048865037832072265,0.9843110504774898,866231704.4488404
interference,host,host_cpu3-interf_io-run10,70000,30001,3,0,28535,0.9511349621679277,0.0,594812.1973015595
interference,host,host_cpu3-interf_io-run10,70000,30001,3,1,436,0.014532848905036498,0.9472477064220184,92336030.83256881
interference,host,host_cpu3-interf_io-run10,70000,30001,3,2,1030,0.03433218892703577,1.0,1193822494.445631
interference,host,host_cpu3-interf_io-run10,70000,30001,4,0,24085,0.8028065731142295,0.0,594567.6218393191
interference,host,host_cpu3-interf_io-run10,70000,30001,4,1,4452,0.14839505349821672,0.0,596136.5876010782
interference,host,host_cpu3-interf_io-run10,70000,30001,4,2,433,0.014432852238258725,0.9515011547344111,92376304.54965357
interference,host,host_cpu3-interf_io-run10,70000,30001,4,3,1031,0.034365521149295024,1.0,1192915173.270611
interference,host,host_cpu3-interf_io-run10,70000,30001,5,0,24082,0.8027065764474518,0.0,594567.5065609169
interference,host,host_cpu3-interf_io-run10,70000,30001,5,1,4455,0.1484950501649945,0.0,596136.1542087542
interference,host,host_cpu3-interf_io-run10,70000,30001,5,2,150,0.004999833338888704,0.86,21312041.04
interference,host,host_cpu3-interf_io-run10,70000,30001,5,3,286,0.009533015566147796,1.0,131403509.17132868
interference,host,host_cpu3-interf_io-run10,70000,30001,5,4,1028,0.03426552448251725,1.0,1195638398.5729573
interference,host,host_cpu3-interf_io-run8,70000,30001,2,0,27882,0.9293690210326322,0.0,593533.5184706979
interference,host,host_cpu3-interf_io-run8,70000,30001,2,1,2119,0.07063097896736775,0.9948088721094857,834835959.0840019
interference,host,host_cpu3-interf_io-run8,70000,30001,3,0,27881,0.929335688810373,0.0,593533.5053979412
interference,host,host_cpu3-interf_io-run8,70000,30001,3,1,589,0.019632678910702975,0.9796264855687606,98771945.63327675
interference,host,host_cpu3-interf_io-run8,70000,30001,3,2,1531,0.05103163227892404,1.0,1117466567.7459178
interference,host,host_cpu3-interf_io-run8,70000,30001,4,0,13942,0.46471784273857536,0.0,593450.9939033138
interference,host,host_cpu3-interf_io-run8,70000,30001,4,1,13940,0.4646511782940569,0.0,593616.0548780488
interference,host,host_cpu3-interf_io-run8,70000,30001,4,2,665,0.022165927802406588,0.9834586466165414,115852403.56992482
interference,host,host_cpu3-interf_io-run8,70000,30001,4,3,1454,0.048465051164961165,1.0,1163669565.9731774
interference,host,host_cpu3-interf_io-run8,70000,30001,5,0,24449,0.8149395020165995,0.0,593371.4652542026
interference,host,host_cpu3-interf_io-run8,70000,30001,5,1,3434,0.11446285123829206,0.0,594688.7140361095
interference,host,host_cpu3-interf_io-run8,70000,30001,5,2,373,0.012432918902703243,0.9731903485254692,59046814.42627346
interference,host,host_cpu3-interf_io-run8,70000,30001,5,3,526,0.01753274890836972,1.0,275438013.0247148
interference,host,host_cpu3-interf_io-run8,70000,30001,5,4,1219,0.040631978934035536,1.0,1314283791.8219852
interference,container,docker_cpu3-interf_io-run2,70000,30001,2,0,29890,0.9963001233292224,0.0,599705.3483439278
interference,container,docker_cpu3-interf_io-run2,70000,30001,2,1,111,0.003699876670777641,0.05405405405405406,1049476.1441441444
interference,container,docker_cpu3-interf_io-run2,70000,30001,3,0,28778,0.9592346921769275,0.0,599618.6861838904
interference,container,docker_cpu3-interf_io-run2,70000,30001,3,1,1147,0.038232058931368954,0.0,602011.0139494333
interference,container,docker_cpu3-interf_io-run2,70000,30001,3,2,76,0.00253324889170361,0.07894736842105263,1254625.394736842
interference,container,docker_cpu3-interf_io-run2,70000,30001,4,0,28776,0.959168027732409,0.0,599618.6048443147
