condition,environment,run,states,n,median_inter_release_ns,state_by_mean,dwell_activations,dwell_us,miss_rate,mean_response_ns
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,16,80000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,46,230000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,23,115000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,17,85000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,20,100000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,13,65000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,3,345,1725000.0,1.0,1078935917.691202
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,92,460000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,26,130000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,4,20000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,25,125000.0,0.9820580474934036,125049239.43482848
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,2,3,15000.0,1.0,25360395.919298247
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,3,16,80000.0,1.0,98915378.29850748
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,2,10,50000.0,1.0,25360395.919298247
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,3,22,110000.0,1.0,98915378.29850748
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,2,9,45000.0,1.0,25360395.919298247
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,2,3,15000.0,1.0,25360395.919298247
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,2,10,50000.0,1.0,25360395.919298247
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,3,14,70000.0,1.0,98915378.29850748
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,2,10,50000.0,1.0,25360395.919298247
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,3,33,165000.0,1.0,98915378.29850748
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,2,10,50000.0,1.0,25360395.919298247
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,2,8,40000.0,1.0,25360395.919298247
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,2,10,50000.0,1.0,25360395.919298247
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,2,13,65000.0,1.0,25360395.919298247
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,3,10,50000.0,1.0,98915378.29850748
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,2,10,50000.0,1.0,25360395.919298247
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,2,9,45000.0,1.0,25360395.919298247
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,2,7,35000.0,1.0,25360395.919298247
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,2,5,25000.0,1.0,25360395.919298247
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,2,7,35000.0,1.0,25360395.919298247
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,2,6,30000.0,1.0,25360395.919298247
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,3,6,30000.0,1.0,98915378.29850748
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,2,9,45000.0,1.0,25360395.919298247
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,3,6,30000.0,1.0,98915378.29850748
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,2,10,50000.0,1.0,25360395.919298247
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,2,10,50000.0,1.0,25360395.919298247
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,3,22,110000.0,1.0,98915378.29850748
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,2,10,50000.0,1.0,25360395.919298247
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,3,13,65000.0,1.0,98915378.29850748
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,2,10,50000.0,1.0,25360395.919298247
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,3,17,85000.0,1.0,98915378.29850748
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,2,10,50000.0,1.0,25360395.919298247
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,2,6,30000.0,1.0,25360395.919298247
