condition,environment,run,sensitivity,order_gmm,order_hmm,train_bic_gmm,train_bic_hmm,test_loglik_per_obs_gmm,test_loglik_per_obs_hmm,temporal_gain_per_obs_gmm,temporal_gain_per_obs_hmm,n_train_gmm,n_train_hmm,n_test_gmm,n_test_hmm,kept_fraction_gmm,kept_fraction_hmm,run_number,hmm_minus_gmm_test_loglik_per_obs,hmm_wins
interference,container,docker_cpu3-interf_io-run8,cap_2500us,5.0,5.0,13219.474281282659,-31554.951032014735,-0.018587046863622017,0.30320508390861,0.0,0.8582523340918405,66522.0,66522.0,28222.0,28222.0,0.9474305256947431,0.9474305256947431,8,0.321792130772232,True
interference,container,docker_cpu3-interf_io-run8,train_q_0.999,4.0,5.0,74644.10915058585,27125.799525883995,-0.4877012836637513,-0.1385571435408235,0.0,0.920282972481026,66456.0,66456.0,28218.0,28218.0,0.946730532694673,0.946730532694673,8,0.3491441401229278,True
interference,container,docker_cpu3-interf_io-run8,train_q_0.9995,4.0,5.0,73098.12209634476,27462.363963275522,-0.473326891325691,-0.13816919816272097,0.0,0.7309947437288477,66488.0,66488.0,28220.0,28220.0,0.947070529294707,0.947070529294707,8,0.33515769316297006,True
interference,container,docker_cpu3-interf_io-run8,train_q_0.9999,5.0,5.0,60199.3738776742,14185.319919908901,-0.37303725154227385,-0.04244609331589044,0.0,0.8641021236283978,66515.0,66515.0,28222.0,28222.0,0.947360526394736,0.947360526394736,8,0.3305911582263834,True
interference,container,docker_cpu3-interf_io-run9,base_stable,4.0,5.0,-30537.404549600695,-47703.62323454569,0.17507297400283295,0.31442384538118134,0.0,0.24202928303113028,67146.0,67146.0,28931.0,28931.0,0.960760392396076,0.960760392396076,9,0.1393508713783484,True
interference,container,docker_cpu3-interf_io-run9,cap_1000us,4.0,5.0,-30537.404549600695,-47703.62323454569,0.17507297400283295,0.31442384538118134,0.0,0.2551135867916131,67146.0,67146.0,28931.0,28931.0,0.960760392396076,0.960760392396076,9,0.1393508713783484,True
interference,container,docker_cpu3-interf_io-run9,cap_1500us,4.0,5.0,-30537.404549600695,-47703.62323454569,0.17507297400283295,0.31442384538118134,0.0,0.24173895361295225,67146.0,67146.0,28931.0,28931.0,0.960760392396076,0.960760392396076,9,0.1393508713783484,True
interference,container,docker_cpu3-interf_io-run9,cap_2000us,4.0,5.0,-30537.404549600695,-47703.62323454569,0.17507297400283295,0.31442384538118134,0.0,0.24189536490690666,67146.0,67146.0,28931.0,28931.0,0.960760392396076,0.960760392396076,9,0.1393508713783484,True
interference,container,docker_cpu3-interf_io-run9,cap_2500us,4.0,5.0,-30537.404549600695,-47703.62323454569,0.17507297400283295,0.31442384538118134,0.0,0.2414563258373479,67146.0,67146.0,28931.0,28931.0,0.960760392396076,0.960760392396076,9,0.1393508713783484,True
interference,container,docker_cpu3-interf_io-run9,train_q_0.999,5.0,5.0,180883.55446379003,161184.85118970549,-1.3814602021232816,-1.234302466231838,0.0,0.22639070470626385,67078.0,67078.0,28875.0,28875.0,0.959520404795952,0.959520404795952,9,0.14715773589144354,True
interference,container,docker_cpu3-interf_io-run9,train_q_0.9995,4.0,5.0,175226.31054731287,155700.02161997496,-1.351716947504993,-1.2029402791373809,0.0,0.23517453163857963,67112.0,67112.0,28908.0,28908.0,0.960190398096019,0.960190398096019,9,0.14877666836761216,True
interference,container,docker_cpu3-interf_io-run9,train_q_0.9999,5.0,5.0,77278.05289218585,60017.316288483926,-0.6245573472462697,-0.476397233160622,0.0,0.27391542376319755,67139.0,67139.0,28926.0,28926.0,0.960640393596064,0.960640393596064,9,0.14816011408564767,True
interference,host,host_cpu3-interf_io-run1,base_stable,5.0,5.0,-80925.24284738037,-89596.68067078253,0.5937954627990718,0.6512326845753154,0.0,0.10671013108956882,69986.0,69986.0,29994.0,29994.0,0.999790002099979,0.999790002099979,1,0.05743722177624355,True
interference,host,host_cpu3-interf_io-run1,cap_1000us,5.0,5.0,39718.14459614971,27319.907853978988,-0.2682459499745927,-0.19089081035395697,0.0,0.1375676558850167,69982.0,69982.0,29993.0,29993.0,0.999740002599974,0.999740002599974,1,0.07735513962063575,True
interference,host,host_cpu3-interf_io-run1,cap_1500us,5.0,5.0,39718.14459614971,27319.907853978988,-0.2682459499745927,-0.19089081035395697,0.0,0.13668765090933216,69982.0,69982.0,29993.0,29993.0,0.999740002599974,0.999740002599974,1,0.07735513962063575,True
interference,host,host_cpu3-interf_io-run1,cap_2000us,4.0,5.0,-32891.86748885712,-42155.313355229315,0.25010036829636506,0.3123736689492712,0.0,0.10713186640257415,69984.0,69984.0,29993.0,29993.0,0.999760002399976,0.999760002399976,1,0.06227330065290615,True
interference,host,host_cpu3-interf_io-run1,cap_2500us,5.0,5.0,-56619.8429400085,-65895.83280258492,0.42017666546028776,0.4822049203958794,0.0,0.10672661234178954,69985.0,69985.0,29993.0,29993.0,0.999770002299977,0.999770002299977,1,0.062028254935591665,True
interference,host,host_cpu3-interf_io-run1,train_q_0.999,5.0,5.0,118707.19733503669,106454.0328682216,-0.8333427344171925,-0.7566484915776922,0.0,0.13743235019519123,69916.0,69916.0,29963.0,29963.0,0.998780012199878,0.998780012199878,1,0.07669424283950033,True
interference,host,host_cpu3-interf_io-run1,train_q_0.9995,4.0,5.0,83465.10839500026,71073.36381587632,-0.5828183075135603,-0.5050771103230594,0.0,0.13789988294561203,69951.0,69951.0,29984.0,29984.0,0.999340006599934,0.999340006599934,1,0.07774119719050099,True
interference,host,host_cpu3-interf_io-run1,train_q_0.9999,5.0,5.0,49194.65225430717,36769.027521268334,-0.3351920570576715,-0.25761470176650103,0.0,0.13736385906734014,69979.0,69979.0,29990.0,29990.0,0.999680003199968,0.999680003199968,1,0.07757735529117049,True
interference,host,host_cpu3-interf_io-run10,base_stable,5.0,5.0,94082.96804746987,77918.69301733506,-0.67842454082288,-0.6230898725548345,0.0,0.09565840610675613,68170.0,68170.0,28474.0,28474.0,0.966430335696643,0.966430335696643,10,0.05533466826804545,True
interference,host,host_cpu3-interf_io-run10,cap_1000us,5.0,5.0,94082.96804746987,77918.69301733506,-0.67842454082288,-0.6230898725548345,0.0,0.0967167598362444,68170.0,68170.0,28474.0,28474.0,0.966430335696643,0.966430335696643,10,0.05533466826804545,True
interference,host,host_cpu3-interf_io-run10,cap_1500us,5.0,5.0,94082.96804746987,77918.69301733506,-0.67842454082288,-0.6230898725548345,0.0,0.09557834075857405,68170.0,68170.0,28474.0,28474.0,0.966430335696643,0.966430335696643,10,0.05533466826804545,True
interference,host,host_cpu3-interf_io-run10,cap_2000us,5.0,5.0,94082.96804746987,77918.69301733506,-0.67842454082288,-0.6230898725548345,0.0,0.09554205811322644,68170.0,68170.0,28474.0,28474.0,0.966430335696643,0.966430335696643,10,0.05533466826804545,True
interference,host,host_cpu3-interf_io-run10,cap_2500us,5.0,5.0,94082.96804746987,77918.69301733506,-0.67842454082288,-0.6230898725548345,0.0,0.09578625933616515,68170.0,68170.0,28474.0,28474.0,0.966430335696643,0.966430335696643,10,0.05533466826804545,True
interference,host,host_cpu3-interf_io-run10,train_q_0.999,5.0,5.0,112302.93174779795,93970.0829791321,-0.8069420201250792,-0.683028107374704,0.0,0.17028443622212672,68101.0,68101.0,28440.0,28440.0,0.96540034599654,0.96540034599654,10,0.12391391275037522,True
interference,host,host_cpu3-interf_io-run10,train_q_0.9995,5.0,5.0,111847.37375078177,93599.31397095147,-0.8033058469858895,-0.6797708052208791,0.0,0.1695938904453272,68135.0,68135.0,28451.0,28451.0,0.965850341496585,0.965850341496585,10,0.1235350417650104,True
interference,host,host_cpu3-interf_io-run10,train_q_0.9999,5.0,5.0,111272.52200149812,93045.35587004657,-0.7990346859556737,-0.6761311000905962,0.0,0.17077998213667162,68163.0,68163.0,28462.0,28462.0,0.9662403375966241,0.9662403375966241,10,0.12290358586507755,True
interference,host,host_cpu3-interf_io-run2,base_stable,4.0,5.0,-88.2964272943604,-12283.295481344501,0.05360457503271918,0.07694706006870342,0.0,0.039564018642247664,69886.0,69886.0,30001.0,30001.0,0.998860011399886,0.998860011399886,2,0.023342485035984233,True
