condition,environment,run,sensitivity,model,n_total,n_kept,kept_fraction,n_train,n_test,train_segments,test_segments,standardization_center_log_ns,standardization_scale_log_ns,reason,order,train_loglik,test_loglik,scored_test_observations,parameters_count,train_bic,test_loglik_per_obs,shuffled_test_loglik_mean,shuffled_test_loglik_sd,temporal_gain_per_obs,parameters
interference,container,docker_cpu3-interf_io-run2,train_q_0.9995,gaussian_gmm,100001,99906,0.999050009499905,69943,29963,38,18,13.304315086249435,0.00217318510644724,,5,-52434.00616358662,-25989.386987759637,29963,14,105024.18842982374,-0.8673826715535706,-25989.386987759637,0.0,0.0,"component_0_mean=-0.5403558,weight=0.2722126;component_1_mean=-0.10324699,weight=0.45526857;component_2_mean=0.41119105,weight=0.1996687;component_3_mean=1.211331,weight=0.071447242;component_4_mean=18.140029,weight=0.0014028932"
interference,container,docker_cpu3-interf_io-run2,train_q_0.9995,gaussian_hmm,100001,99906,0.999050009499905,69943,29963,38,18,13.304315086249435,0.00217318510644724,,5,-44653.99253956578,-21270.29693817546,29963,34,89687.26989985417,-0.7098854232945786,-28995.08859089265,113.73237361440913,0.2578110220177282,state_0_mean=-0.52086822;state_1_mean=-0.13295989;state_2_mean=0.27705194;state_3_mean=0.68969125;state_4_mean=13.395256
interference,container,docker_cpu3-interf_io-run2,train_q_0.9999,gaussian_gmm,100001,99947,0.999460005399946,69971,29976,11,5,13.304422561356416,0.007519747064746947,,4,33708.03522515921,10822.872429699291,29976,11,-67293.35625267417,0.36105125532757176,10822.872429699291,0.0,0.0,"component_0_mean=-0.063548882,weight=0.80764241;component_1_mean=0.15576298,weight=0.19052007;component_2_mean=6.1319816,weight=0.0015910526;component_3_mean=48.252688,weight=0.0002464628"
interference,container,docker_cpu3-interf_io-run2,train_q_0.9999,gaussian_hmm,100001,99947,0.999460005399946,69971,29976,11,5,13.304422561356416,0.007519747064746947,,4,35308.19972295371,11961.707642308256,29976,23,-70359.81521446945,0.3990428223348097,9352.947600350642,33.895488592520366,0.08702829069781204,state_0_mean=-0.090358075;state_1_mean=0.083944849;state_2_mean=4.2426137;state_3_mean=53.913297
interference,container,docker_cpu3-interf_io-run3,base_stable,gaussian_gmm,100001,99897,0.998960010399896,69910,29987,8,3,13.310576668135102,0.014524123470607754,,4,154535.73221037193,62039.490763455404,29987,11,-308948.7598169693,2.06887953991581,62039.490763455404,0.0,0.0,"component_0_mean=-0.019101855,weight=0.98009948;component_1_mean=0.10003591,weight=0.018181289;component_2_mean=3.7233738,weight=0.001590485;component_3_mean=85.290829,weight=0.00012874733"
interference,container,docker_cpu3-interf_io-run3,base_stable,gaussian_hmm,100001,99897,0.998960010399896,69910,29987,8,3,13.310576668135102,0.014524123470607754,,5,175014.64565445212,67103.0011748072,29987,34,-349650.02253360103,2.2377363915965987,62926.33640288628,29.068034684335508,0.1392825148204529,state_0_mean=-0.045556937;state_1_mean=-0.011171456;state_2_mean=0.10915843;state_3_mean=4.3233587;state_4_mean=85.292979
interference,container,docker_cpu3-interf_io-run3,cap_1000us,gaussian_gmm,100001,99884,0.998830011699883,69901,29983,17,7,13.310417161736723,0.0030551921264732234,,5,47425.844593083035,16319.55021471351,29983,14,-94695.52149288627,0.5442934401065107,16319.55021471351,0.0,0.0,"component_0_mean=-0.0900865,weight=0.65043956;component_1_mean=0.065131767,weight=0.33424746;component_2_mean=0.63065785,weight=0.013771105;component_3_mean=15.456053,weight=0.0014590104;component_4_mean=67.460158,weight=8.2868153e-05"
interference,container,docker_cpu3-interf_io-run3,cap_1000us,gaussian_hmm,100001,99884,0.998830011699883,69901,29983,17,7,13.310417161736723,0.0030551921264732234,,5,66320.26610296784,20477.96077426847,29983,34,-132261.26780797046,0.6829857177156545,16225.231966873878,88.45841805173707,0.1418380017808289,state_0_mean=-0.16679859;state_1_mean=-0.069522252;state_2_mean=-0.00071985329;state_3_mean=0.57140034;state_4_mean=20.604657
interference,container,docker_cpu3-interf_io-run3,cap_1500us,gaussian_gmm,100001,99885,0.998840011599884,69901,29984,17,6,13.310417161736723,0.0030551921264732234,,5,47425.844593083035,16284.826160829207,29984,14,-94695.52149288627,0.5431172012016144,16284.826160829207,0.0,0.0,"component_0_mean=-0.0900865,weight=0.65043956;component_1_mean=0.065131767,weight=0.33424746;component_2_mean=0.63065785,weight=0.013771105;component_3_mean=15.456053,weight=0.0014590104;component_4_mean=67.460158,weight=8.2868153e-05"
interference,container,docker_cpu3-interf_io-run3,cap_1500us,gaussian_hmm,100001,99885,0.998840011599884,69901,29984,17,6,13.310417161736723,0.0030551921264732234,,5,66320.26610296784,20403.20002859524,29984,34,-132261.26780797046,0.6804695847316983,16170.094920965901,19.272413753233053,0.14117879894708313,state_0_mean=-0.16679859;state_1_mean=-0.069522252;state_2_mean=-0.00071985329;state_3_mean=0.57140034;state_4_mean=20.604657
