condition,environment,run,view,n_total,n_kept,kept_fraction,n_train,n_test,train_segments,test_segments,standardization_center_log_ns,standardization_scale_log_ns,reason,model,order,train_loglik,test_loglik,scored_test_observations,parameters_count,train_bic,test_loglik_per_obs,shuffled_test_loglik_mean,shuffled_test_loglik_sd,temporal_gain_per_obs,parameters
interference,host,host_cpu3-interf_io-run4,train_q_0.999,100001,99135,0.991340086599134,69550,29585,80,30,13.311049150992142,0.0013029517367171982,,gaussian_hmm,4,-60926.52326247239,-24729.50197903596,29585,23,122109.49195248386,-0.8358797356442778,-30120.350066437844,22.213181047609574,0.18221558517498349,state_0_mean=-0.81627816;state_1_mean=-0.54180769;state_2_mean=0.65060334;state_3_mean=0.82879616
interference,host,host_cpu3-interf_io-run4,train_q_0.999,100001,99135,0.991340086599134,69550,29585,80,30,13.311049150992142,0.0013029517367171982,,gaussian_gmm,5,-67266.2056413767,-27690.89456457459,29585,14,134688.50849951632,-0.9359775076753284,-27690.89456457459,0.0,0.0,"component_0_mean=-0.73556341,weight=0.44175036;component_1_mean=-0.29082577,weight=0.21342555;component_2_mean=0.55837667,weight=0.22742688;component_3_mean=1.7527214,weight=0.034196792;component_4_mean=2.4047686,weight=0.083200413"
interference,host,host_cpu3-interf_io-run4,train_q_0.999,100001,99135,0.991340086599134,69550,29585,80,30,13.311049150992142,0.0013029517367171982,,gaussian_hmm,5,-58432.02145654532,-23475.395872691905,29585,34,117243.1361538006,-0.7934898047217138,-30065.72265923773,31.190773938776935,0.22275905987986566,state_0_mean=-0.81826997;state_1_mean=-0.57056422;state_2_mean=0.21942102;state_3_mean=0.65309755;state_4_mean=1.9447947
interference,host,host_cpu3-interf_io-run4,train_q_0.9995,100001,99178,0.991770082299177,69585,29593,54,26,13.311067014741262,0.0015477680535327274,,iid_gaussian,1,-98736.33783304715,-39590.287309377294,29593,2,197494.976274706,-1.3378260841880611,-39590.287309377294,0.0,0.0,mean=3.7794645e-13;sd=1
interference,host,host_cpu3-interf_io-run4,train_q_0.9995,100001,99178,0.991770082299177,69585,29593,54,26,13.311067014741262,0.0015477680535327274,,ar1_gaussian,1,,-39084.24683026994,29567,3,,-1.3218874701616647,,,,intercept=-0.00068416693;phi=0.093208893;sd=0.99216903
interference,host,host_cpu3-interf_io-run4,train_q_0.9995,100001,99178,0.991770082299177,69585,29593,54,26,13.311067014741262,0.0015477680535327274,,gaussian_gmm,2,-70577.69609655872,-28638.114695916636,29593,5,141211.14371464672,-0.9677327305753602,-28638.114695916636,0.0,0.0,"component_0_mean=-0.5746021,weight=0.51463967;component_1_mean=0.60926495,weight=0.48536033"
interference,host,host_cpu3-interf_io-run4,train_q_0.9995,100001,99178,0.991770082299177,69585,29593,54,26,13.311067014741262,0.0015477680535327274,,gaussian_hmm,2,-70391.61703731358,-28173.237104712858,29593,7,140861.28620476814,-0.9520236915727658,-28522.62058272426,20.135740146194852,0.011806287906308964,state_0_mean=-0.58146062;state_1_mean=0.59039546
interference,host,host_cpu3-interf_io-run4,train_q_0.9995,100001,99178,0.991770082299177,69585,29593,54,26,13.311067014741262,0.0015477680535327274,,gaussian_gmm,3,-61024.97476939607,-26316.110115616208,29593,8,122139.15197323897,-0.889268074058602,-26316.110115616208,0.0,0.0,"component_0_mean=-0.58238842,weight=0.51430844;component_1_mean=0.59194967,weight=0.48501519;component_2_mean=18.366615,weight=0.00067637352"
interference,host,host_cpu3-interf_io-run4,train_q_0.9995,100001,99178,0.991770082299177,69585,29593,54,26,13.311067014741262,0.0015477680535327274,,gaussian_hmm,3,-60736.768648709454,-25780.02221375751,29593,14,121629.64155770086,-0.871152712254841,-26207.718592411744,10.233684623679151,0.014452619830846242,state_0_mean=-0.58905679;state_1_mean=0.56930131;state_2_mean=14.98074
interference,host,host_cpu3-interf_io-run4,train_q_0.9995,100001,99178,0.991770082299177,69585,29593,54,26,13.311067014741262,0.0015477680535327274,,gaussian_gmm,4,-56705.135065836264,-23484.88729364386,29593,11,113532.92347903692,-0.7935960292516426,-23484.88729364386,0.0,0.0,"component_0_mean=-0.60377532,weight=0.49415609;component_1_mean=0.14964747,weight=0.37117477;component_2_mean=1.717961,weight=0.133891;component_3_mean=16.442334,weight=0.00077813636"
interference,host,host_cpu3-interf_io-run4,train_q_0.9995,100001,99178,0.991770082299177,69585,29593,54,26,13.311067014741262,0.0015477680535327274,,gaussian_hmm,4,-55154.83722188281,-22501.27711746631,29593,23,110566.13144280025,-0.7603580954099385,-25384.819574044315,48.71274298149863,0.09744001813192325,state_0_mean=-0.6928893;state_1_mean=-0.44806156;state_2_mean=0.65650239;state_3_mean=15.168737
interference,host,host_cpu3-interf_io-run4,train_q_0.9995,100001,99178,0.991770082299177,69585,29593,54,26,13.311067014741262,0.0015477680535327274,,gaussian_gmm,5,-55847.997713317054,-22959.317540546774,29593,14,111852.09968691606,-0.7758360943651125,-22959.317540546774,0.0,0.0,"component_0_mean=-0.62559139,weight=0.45604612;component_1_mean=-0.21086716,weight=0.22415975;component_2_mean=0.46690126,weight=0.18011274;component_3_mean=1.6967129,weight=0.13890457;component_4_mean=16.465133,weight=0.00077681781"
interference,host,host_cpu3-interf_io-run4,train_q_0.9995,100001,99178,0.991770082299177,69585,29593,54,26,13.311067014741262,0.0015477680535327274,,gaussian_hmm,5,-49186.98283707595,-19705.06767470758,29593,34,98753.07602055093,-0.6658692148382246,-25152.904596745288,30.680386101945885,0.184092079952614,state_0_mean=-0.69869712;state_1_mean=-0.46781217;state_2_mean=0.53619133;state_3_mean=0.68345596;state_4_mean=15.708654
interference,host,host_cpu3-interf_io-run4,train_q_0.9999,100001,99214,0.992130078699213,69613,29601,27,18,13.311098539648844,0.0022357188963424653,,iid_gaussian,1,-98776.06811197687,-37597.47420851946,29601,2,197574.43763717473,-1.270142029273317,-37597.47420851946,0.0,0.0,mean=-4.1382773e-13;sd=1
interference,host,host_cpu3-interf_io-run4,train_q_0.9999,100001,99214,0.992130078699213,69613,29601,27,18,13.311098539648844,0.0022357188963424653,,ar1_gaussian,1,,-37435.280587768124,29583,3,,-1.2654321937520916,,,,intercept=-0.00012353091;phi=0.10055231;sd=0.99480741
interference,host,host_cpu3-interf_io-run4,train_q_0.9999,100001,99214,0.992130078699213,69613,29601,27,18,13.311098539648844,0.0022357188963424653,,gaussian_gmm,2,-61418.594882212725,-24666.099183788512,29601,5,122892.9432974779,-0.8332860100600828,-24666.099183788512,0.0,0.0,"component_0_mean=-0.23803703,weight=0.79759779;component_1_mean=0.93802239,weight=0.20240221"
interference,host,host_cpu3-interf_io-run4,train_q_0.9999,100001,99214,0.992130078699213,69613,29601,27,18,13.311098539648844,0.0022357188963424653,,gaussian_hmm,2,-61618.09929928345,-26407.127181139338,29601,7,123314.25354484034,-0.8921025364392872,-26434.387107759998,0.6596909912095372,0.0009209123550102978,state_0_mean=-0.023514919;state_1_mean=15.361028
interference,host,host_cpu3-interf_io-run4,train_q_0.9999,100001,99214,0.992130078699213,69613,29601,27,18,13.311098539648844,0.0022357188963424653,,gaussian_gmm,3,-35773.85587584271,-15532.602796796344,29601,8,71636.91740456934,-0.5247323670415305,-15532.602796796344,0.0,0.0,"component_0_mean=-0.41730173,weight=0.51404065;component_1_mean=0.39564065,weight=0.48488224;component_2_mean=21.047961,weight=0.0010771082"
