condition,environment,run,n,period_ns,deadline_ns,baseline_response_ns,expected_recovery_slope_ns_per_activation,delta_mad_ns,shock_threshold_ns,shock_job_index,shock_release_ns,response_before_ns,response_after_ns,shock_amplitude_ns,is_deadline_miss_after_shock
interference,container,docker_cpu3-interf_io-run2,100001,5000000.0,3000000.0,599638.0,-4400362.0,419.0,1000000.0,51026,76648644675596,598422.0,1821919.0,1223497.0,False
interference,container,docker_cpu3-interf_io-run2,100001,5000000.0,3000000.0,599638.0,-4400362.0,419.0,1000000.0,52922,76658124675596,598610.0,2933156.0,2334546.0,False
interference,container,docker_cpu3-interf_io-run2,100001,5000000.0,3000000.0,599638.0,-4400362.0,419.0,1000000.0,58535,76686189675596,598872.0,1689027.0,1090155.0,False
interference,container,docker_cpu3-interf_io-run2,100001,5000000.0,3000000.0,599638.0,-4400362.0,419.0,1000000.0,59142,76689224675596,598791.0,2208375.0,1609584.0,False
interference,container,docker_cpu3-interf_io-run2,100001,5000000.0,3000000.0,599638.0,-4400362.0,419.0,1000000.0,63769,76712359675596,598760.0,2418298.0,1819538.0,False
interference,container,docker_cpu3-interf_io-run2,100001,5000000.0,3000000.0,599638.0,-4400362.0,419.0,1000000.0,69382,76740424675596,599628.0,4557943.0,3958315.0,True
interference,container,docker_cpu3-interf_io-run2,100001,5000000.0,3000000.0,599638.0,-4400362.0,419.0,1000000.0,94261,76864819675596,599142.0,4199150.0,3600008.0,True
interference,container,docker_cpu3-interf_io-run2,100001,5000000.0,3000000.0,599638.0,-4400362.0,419.0,1000000.0,94641,76866719675596,598676.0,2678619.0,2079943.0,False
interference,container,docker_cpu3-interf_io-run2,100001,5000000.0,3000000.0,599638.0,-4400362.0,419.0,1000000.0,97371,76880369675596,598649.0,8572024.0,7973375.0,True
interference,container,docker_cpu3-interf_io-run2,100001,5000000.0,3000000.0,599638.0,-4400362.0,419.0,1000000.0,99040,76888714675596,600319.0,14524366.0,13924047.0,True
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,5662,78024855100654,603567.0,2678206.0,2074639.0,False
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,14314,78068115100654,603124.0,62561046.0,61957922.0,True
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,18333,78088210100654,603175.0,40706503.0,40103328.0,True
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,23415,78113620100654,603204.0,7849698.0,7246494.0,True
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,24477,78118930100654,603458.0,2373485.0,1770027.0,False
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,25994,78126515100654,603191.0,1709758.0,1106567.0,False
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,29863,78145860100654,603203.0,2166147.0,1562944.0,False
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,35248,78172785100654,603857.0,5755894.0,5152037.0,True
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,47612,78234605100654,603017.0,7138945.0,6535928.0,True
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,47915,78236120100654,603200.0,89658575.0,89055375.0,True
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,55121,78272150100654,603170.0,1732191.0,1129021.0,False
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,55651,78274800100654,603316.0,1634264.0,1030948.0,False
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,56031,78276700100654,603097.0,3228309.0,2625212.0,True
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,61947,78306280100654,603374.0,2031029.0,1427655.0,False
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,63540,78314245100654,603141.0,2689956.0,2086815.0,False
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,64981,78321450100654,603328.0,2029514.0,1426186.0,False
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,76056,78376825100654,603285.0,2031991.0,1428706.0,False
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,93957,78466330100654,603304.0,2623710.0,2020406.0,False
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,96763,78480360100654,603112.0,4521548.0,3918436.0,True
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,97901,78486050100654,603552.0,4415136.0,3811584.0,True
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,98128,78487185100654,603396.0,2724984.0,2121588.0,False
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,1102,79096683074299,603078.0,126316723.0,125713645.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,2106,79101703074299,603028.0,189645974.0,189042946.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,3108,79106713074299,603053.0,197097988.0,196494935.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,4265,79112498074299,603182.0,141934375.0,141331193.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,6427,79123308074299,603142.0,154186920.0,153583778.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,6658,79124463074299,603087.0,48334861.0,47731774.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,8435,79133348074299,603151.0,269111797.0,268508646.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,9513,79138738074299,603268.0,126508499.0,125905231.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,12555,79153948074299,603085.0,117484025.0,116880940.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,15588,79169113074299,603079.0,102644384.0,102041305.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,17711,79179728074299,603052.0,84648043.0,84044991.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,21806,79200203074299,603162.0,204631295.0,204028133.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,22866,79205503074299,603206.0,14388713.0,13785507.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,24838,79215363074299,603036.0,89266221.0,88663185.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,28706,79234703074299,603040.0,426806860.0,426203820.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,30140,79241873074299,603137.0,32479712.0,31876575.0,True
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,36208,79272213074299,603024.0,127531738.0,126928714.0,True
